participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note
p18,terminal_first,terminal,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,538,77,3,93,5.25,4.63,6.69,5.04,3.16,5.06,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p18,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,913,79,4,113,5.16,5.35,4.55,4.99,2.4,4.57,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p18,terminal_first,terminal,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,510,67,3,58,3.57,4.46,5.17,5.76,2.88,4.38,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p18,terminal_first,canvas,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,783,72,3,82,4.5,3.31,6.24,5.54,4.01,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p18,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,859,89,3,61,3.06,4.13,5.14,5.08,4.65,7,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p18,terminal_first,canvas,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,553,68,2,84,2.81,4.21,5.77,5.2,3.85,5.03,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p19,canvas_first,canvas,delegation,Yes,No,No,product_analysis,several_times_weekly,often,rarely,557,86,3,101,3.5,4.42,6.44,5.91,4.16,5.88,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p19,canvas_first,canvas,monitoring,Yes,No,No,product_analysis,several_times_weekly,often,rarely,883,96,4,76,3.13,4.87,6.7,6.27,3.58,5.77,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p19,canvas_first,canvas,recovery,Yes,No,No,product_analysis,several_times_weekly,often,rarely,624,80,5,70,4.22,4.54,5.09,5.12,4.63,5.21,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p19,canvas_first,terminal,delegation,Yes,No,No,product_analysis,several_times_weekly,often,rarely,709,87,3,87,4.16,4.09,5.88,6.21,2.69,4.32,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p19,canvas_first,terminal,monitoring,Yes,No,No,product_analysis,several_times_weekly,often,rarely,1001,74,4,129,5.43,4.01,5.38,4.23,3.88,3.99,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p19,canvas_first,terminal,recovery,Yes,No,No,product_analysis,several_times_weekly,often,rarely,554,86,3,91,3.36,4.02,5.51,6.5,3.18,5.53,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p20,terminal_first,terminal,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,646,85,4,85,4.25,4.55,4.98,6.2,3.17,5.25,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p20,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,901,76,4,119,4.76,4.25,4.32,5.31,2.42,3.73,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p20,terminal_first,terminal,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,545,75,4,60,4.82,4.4,5.91,6.48,3.05,5.63,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p20,terminal_first,canvas,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,696,83,3,91,2.75,3.44,4.75,5.23,4.07,5.79,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p20,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,909,88,1,84,3.74,5.15,6.51,5.45,5.07,5.67,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p20,terminal_first,canvas,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,560,70,3,60,4.02,4.42,4.84,4.68,3.66,4.48,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p21,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,665,83,4,60,4.58,4.36,5.17,5.17,4.41,6.13,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p21,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,711,82,4,98,3.73,3.95,4.51,5.5,4.74,6.1,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p21,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,521,85,3,32,3.95,4.25,5.65,4.35,4.27,5.1,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p21,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,721,82,3,82,4.4,4.76,6.47,5.75,1.57,5.47,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p21,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,824,80,4,148,4.73,5.48,6.0,4.53,2.79,4.09,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p21,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,391,93,2,55,4.62,5.38,5.71,6.07,3.23,5.77,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p22,terminal_first,terminal,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,645,78,3,110,4.82,4.19,4.67,5.2,2.18,5.27,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p22,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,834,60,4,146,4.88,5.48,4.14,5.04,3.33,4.87,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p22,terminal_first,terminal,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,627,81,4,57,4.19,4.43,6.14,6.43,2.98,6.14,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p22,terminal_first,canvas,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,632,91,1,94,3.27,3.71,6.03,4.79,4.48,4.3,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p22,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,778,82,4,78,3.42,4.65,6.23,5.23,4.63,5.44,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p22,terminal_first,canvas,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,687,68,4,80,4.04,3.76,5.98,4.93,3.36,4.32,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p23,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,735,76,3,99,5.09,3.44,5.62,6.27,3.91,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p23,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,800,77,4,81,3.92,3.62,5.57,5.58,4.49,5.86,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p23,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,638,69,2,80,4.41,4.51,5.18,4.98,4.04,5.57,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p23,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,668,79,3,94,4.41,2.92,6.07,4.39,2.42,4.84,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p23,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,856,70,5,145,6.07,4.83,5.16,4.66,2.67,4.42,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p23,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,535,79,2,45,4.67,4.71,5.56,5.38,3.49,4.86,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p24,terminal_first,terminal,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,651,86,4,94,4.85,4.46,6.56,4.53,2.5,4.63,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p24,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,920,61,5,135,4.78,4.83,4.88,4.37,3.05,4.93,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p24,terminal_first,terminal,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,564,89,2,79,4.83,4.1,4.77,5.93,4.14,5.51,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p24,terminal_first,canvas,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,661,85,2,104,4.23,2.95,5.46,5.99,4.06,4.4,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p24,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,694,91,2,99,4.86,3.86,5.01,6.21,4.46,4.95,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p24,terminal_first,canvas,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,681,83,4,82,4.85,4.73,5.15,5.44,4.08,4.74,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
