participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note,workload_score
p17,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,895.0,62.0,4.0,154.0,6.03,5.52,5.39,4.66,1.93,5.09,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.775
p17,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,426.0,85.0,3.0,56.0,4.28,5.03,5.35,5.96,2.76,5.41,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.655
p18,terminal_first,terminal,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,538.0,77.0,3.0,93.0,5.25,4.63,6.69,5.04,3.16,5.06,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.94
p18,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,913.0,79.0,4.0,113.0,5.16,5.35,4.55,4.99,2.4,4.57,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.255
p18,terminal_first,terminal,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,510.0,67.0,3.0,58.0,3.57,4.46,5.17,5.76,2.88,4.38,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.015
p18,terminal_first,canvas,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,783.0,72.0,3.0,82.0,4.5,3.31,6.24,5.54,4.01,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.905
p18,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,859.0,89.0,3.0,61.0,3.06,4.13,5.14,5.08,4.65,7.0,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.595
p18,terminal_first,canvas,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,553.0,68.0,2.0,84.0,2.81,4.21,5.77,5.2,3.85,5.03,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",3.51
p20,terminal_first,terminal,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,646.0,85.0,4.0,85.0,4.25,4.55,4.98,6.2,3.17,5.25,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.4
p20,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,901.0,76.0,4.0,119.0,4.76,4.25,4.32,5.31,2.42,3.73,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.505
p20,terminal_first,terminal,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,545.0,75.0,4.0,60.0,4.82,4.4,5.91,6.48,3.05,5.63,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.61
p20,terminal_first,canvas,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,696.0,83.0,3.0,91.0,2.75,3.44,4.75,5.23,4.07,5.79,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.095
p20,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,909.0,88.0,1.0,84.0,3.74,5.15,6.51,5.45,5.07,5.67,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.445
p20,terminal_first,canvas,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,560.0,70.0,3.0,60.0,4.02,4.42,4.84,4.68,3.66,4.48,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.22
p21,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,665.0,83.0,4.0,60.0,4.58,4.36,5.17,5.17,4.41,6.13,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.47
p21,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,711.0,82.0,4.0,98.0,3.73,3.95,4.51,5.5,4.74,6.1,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.84
p21,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,521.0,85.0,3.0,32.0,3.95,4.25,5.65,4.35,4.27,5.1,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.1
p21,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,721.0,82.0,3.0,82.0,4.4,4.76,6.47,5.75,1.57,5.47,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.58
p21,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,824.0,80.0,4.0,148.0,4.73,5.48,6.0,4.53,2.79,4.09,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.105
p21,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,391.0,93.0,2.0,55.0,4.62,5.38,5.71,6.07,3.23,5.77,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",5.0
p22,terminal_first,terminal,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,645.0,78.0,3.0,110.0,4.82,4.19,4.67,5.2,2.18,5.27,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.505
p22,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,834.0,60.0,4.0,146.0,4.88,5.48,4.14,5.04,3.33,4.87,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.18
p22,terminal_first,terminal,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,627.0,81.0,4.0,57.0,4.19,4.43,6.14,6.43,2.98,6.14,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.31
p22,terminal_first,canvas,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,632.0,91.0,1.0,94.0,3.27,3.71,6.03,4.79,4.48,4.3,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.49
p22,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,778.0,82.0,4.0,78.0,3.42,4.65,6.23,5.23,4.63,5.44,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.035
p22,terminal_first,canvas,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,687.0,68.0,4.0,80.0,4.04,3.76,5.98,4.93,3.36,4.32,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",3.9
p23,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,735.0,76.0,3.0,99.0,5.09,3.44,5.62,6.27,3.91,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.265
p23,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,800.0,77.0,4.0,81.0,3.92,3.62,5.57,5.58,4.49,5.86,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.77
p23,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,638.0,69.0,2.0,80.0,4.41,4.51,5.18,4.98,4.04,5.57,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.46
p23,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,668.0,79.0,3.0,94.0,4.41,2.92,6.07,4.39,2.42,4.84,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,3.665
p23,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,856.0,70.0,5.0,145.0,6.07,4.83,5.16,4.66,2.67,4.42,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.45
p23,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,535.0,79.0,2.0,45.0,4.67,4.71,5.56,5.38,3.49,4.86,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.69
p24,terminal_first,terminal,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,651.0,86.0,4.0,94.0,4.85,4.46,6.56,4.53,2.5,4.63,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.655
p24,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,920.0,61.0,5.0,135.0,4.78,4.83,4.88,4.37,3.05,4.93,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.805
p24,terminal_first,terminal,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,564.0,89.0,2.0,79.0,4.83,4.1,4.77,5.93,4.14,5.51,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.465
p24,terminal_first,canvas,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,661.0,85.0,2.0,104.0,4.23,2.95,5.46,5.99,4.06,4.4,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.59
p24,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,694.0,91.0,2.0,99.0,4.86,3.86,5.01,6.21,4.46,4.95,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.36
p24,terminal_first,canvas,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,681.0,83.0,4.0,82.0,4.85,4.73,5.15,5.44,4.08,4.74,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.79
